user_id,cluster_name,assigned_perk
23557,Price-Sensitive Explorers,Exclusive discounts
94883,Price-Sensitive Explorers,Exclusive discounts
101486,Price-Sensitive Explorers,Exclusive discounts
101961,Price-Sensitive Explorers,Exclusive discounts
106907,Frequent Planners,Free checked bag
118043,Price-Sensitive Explorers,Exclusive discounts
120851,Price-Sensitive Explorers,Exclusive discounts
125845,High-Value Travelers,Free hotel meal
133058,Price-Sensitive Explorers,Exclusive discounts
149058,Price-Sensitive Explorers,Exclusive discounts
152583,Price-Sensitive Explorers,Exclusive discounts
153982,Price-Sensitive Explorers,Exclusive discounts
160754,Price-Sensitive Explorers,Exclusive discounts
164522,Price-Sensitive Explorers,Exclusive discounts
167852,Price-Sensitive Explorers,Exclusive discounts
171470,Hesitant Explorers,No cancellation fees
174997,Hesitant Explorers,No cancellation fees
175032,High-Value Travelers,Free hotel meal
181157,Price-Sensitive Explorers,Exclusive discounts
182191,Price-Sensitive Explorers,Exclusive discounts
187212,Price-Sensitive Explorers,Exclusive discounts
189676,Price-Sensitive Explorers,Exclusive discounts
190866,High-Value Travelers,Free hotel meal
195192,Price-Sensitive Explorers,Exclusive discounts
204943,Hesitant Explorers,No cancellation fees
204997,Hesitant Explorers,No cancellation fees
205044,High-Value Travelers,Free hotel meal
206011,Price-Sensitive Explorers,Exclusive discounts
216796,Frequent Planners,Free checked bag
217114,High-Value Travelers,Free hotel meal
217136,Price-Sensitive Explorers,Exclusive discounts
220725,Hesitant Explorers,No cancellation fees
224996,Price-Sensitive Explorers,Exclusive discounts
226367,Price-Sensitive Explorers,Exclusive discounts
228195,High-Value Travelers,Free hotel meal
228872,Price-Sensitive Explorers,Exclusive discounts
229009,Frequent Planners,Free checked bag
229108,Hesitant Explorers,No cancellation fees
229330,Price-Sensitive Explorers,Exclusive discounts
232647,Price-Sensitive Explorers,Exclusive discounts
249521,Price-Sensitive Explorers,Exclusive discounts
252835,Price-Sensitive Explorers,Exclusive discounts
258451,Hesitant Explorers,No cancellation fees
264470,Price-Sensitive Explorers,Exclusive discounts
276512,Price-Sensitive Explorers,Exclusive discounts
281952,Price-Sensitive Explorers,Exclusive discounts
283325,Price-Sensitive Explorers,Exclusive discounts
290123,High-Value Travelers,Free hotel meal
297546,Price-Sensitive Explorers,Exclusive discounts
298253,Price-Sensitive Explorers,Exclusive discounts
299476,High-Value Travelers,Free hotel meal
306165,Price-Sensitive Explorers,Exclusive discounts
306819,Hesitant Explorers,No cancellation fees
312488,Price-Sensitive Explorers,Exclusive discounts
