user_id,num_sessions,avg_session_duration,avg_booking_lead_time,avg_base_fare,hotel_booking_rate,cancellation_rate,avg_page_clicks,cluster,cluster_name
23557,8,76.625,,,0.25,0.0,10.25,1,Price-Sensitive Explorers
94883,8,67.75,6.5,432.04499999999996,0.25,0.0,9.125,1,Price-Sensitive Explorers
101486,8,122.25,9.0,189.91,0.25,0.0,16.375,1,Price-Sensitive Explorers
101961,8,117.75,5.6,248.53199999999998,0.625,0.0,15.75,1,Price-Sensitive Explorers
106907,8,169.28571428571428,198.5,13902.06,0.25,0.125,30.0,0,Frequent Planners
118043,8,153.125,8.666666666666666,779.7633333333333,0.5,0.0,20.5,1,Price-Sensitive Explorers
120851,8,51.75,7.0,384.68,0.125,0.0,6.875,1,Price-Sensitive Explorers
125845,9,131.77777777777777,8.333333333333334,584.4399999999999,0.3333333333333333,0.0,17.666666666666668,3,High-Value Travelers
133058,8,68.125,6.0,423.51,0.0,0.0,9.125,1,Price-Sensitive Explorers
149058,8,131.75,5.8,385.732,0.625,0.0,17.75,1,Price-Sensitive Explorers
152583,8,139.0,8.0,367.83,0.125,0.0,18.625,1,Price-Sensitive Explorers
153982,8,138.5,8.666666666666666,218.95666666666668,0.375,0.0,18.75,1,Price-Sensitive Explorers
160754,8,80.875,11.0,93.62,0.125,0.0,10.75,1,Price-Sensitive Explorers
164522,8,83.375,8.0,328.32,0.125,0.0,11.125,1,Price-Sensitive Explorers
167852,8,58.0,,,0.0,0.0,7.875,1,Price-Sensitive Explorers
171470,8,1842.5,181.0,3679.3566666666666,0.25,0.25,55.75,2,Hesitant Explorers
174997,8,991.75,9.0,1075.4966666666667,0.375,0.125,31.5,2,Hesitant Explorers
175032,9,104.33333333333333,5.5,554.625,0.3333333333333333,0.0,14.11111111111111,3,High-Value Travelers
181157,8,141.125,5.333333333333333,346.47666666666663,0.375,0.0,19.125,1,Price-Sensitive Explorers
182191,8,72.28571428571429,18.0,537.67,0.125,0.125,18.5,1,Price-Sensitive Explorers
187212,8,118.75,8.0,414.19,0.375,0.0,16.0,1,Price-Sensitive Explorers
189676,8,86.375,4.0,1244.31,0.25,0.0,11.625,1,Price-Sensitive Explorers
190866,9,153.88888888888889,7.2,416.2,0.5555555555555556,0.0,20.666666666666668,3,High-Value Travelers
195192,8,208.375,15.0,394.29,0.125,0.0,28.125,1,Price-Sensitive Explorers
204943,8,1043.5,55.714285714285715,475.96571428571434,0.875,0.125,36.5,2,Hesitant Explorers
204997,8,1237.7142857142858,14.0,991.126,0.5,0.25,54.875,2,Hesitant Explorers
205044,9,110.33333333333333,6.0,916.1166666666667,0.3333333333333333,0.0,14.88888888888889,3,High-Value Travelers
206011,8,146.125,5.5,261.64750000000004,0.375,0.0,19.5,1,Price-Sensitive Explorers
216796,8,73.14285714285714,194.5,2500.87,0.25,0.125,15.625,0,Frequent Planners
217114,9,49.888888888888886,,,0.0,0.0,6.555555555555555,3,High-Value Travelers
217136,8,99.375,7.0,539.57,0.25,0.0,13.25,1,Price-Sensitive Explorers
220725,9,948.8888888888889,5.0,484.584,0.4444444444444444,0.1111111111111111,35.111111111111114,2,Hesitant Explorers
224996,8,94.625,8.0,448.805,0.125,0.0,12.75,1,Price-Sensitive Explorers
226367,8,105.5,7.0,296.4033333333333,0.375,0.0,14.25,1,Price-Sensitive Explorers
228195,9,95.77777777777777,,,0.0,0.0,12.88888888888889,3,High-Value Travelers
228872,8,118.0,5.0,509.21,0.25,0.0,15.75,1,Price-Sensitive Explorers
229009,8,132.57142857142858,164.75,1127.2225,0.375,0.125,18.0,0,Frequent Planners
229108,8,1012.25,148.0,438.61,0.125,0.125,40.125,2,Hesitant Explorers
229330,8,119.625,7.25,387.0275,0.5,0.0,16.125,1,Price-Sensitive Explorers
232647,8,93.875,7.0,237.1,0.125,0.0,12.5,1,Price-Sensitive Explorers
249521,8,140.625,8.0,642.02,0.25,0.0,18.875,1,Price-Sensitive Explorers
252835,8,108.25,7.4,335.31,0.5,0.0,14.625,1,Price-Sensitive Explorers
258451,8,219.875,,,0.25,0.125,20.875,2,Hesitant Explorers
264470,8,111.0,8.0,436.51,0.25,0.0,14.75,1,Price-Sensitive Explorers
276512,8,91.375,10.0,395.69,0.125,0.0,12.25,1,Price-Sensitive Explorers
281952,8,146.375,7.0,342.36,0.25,0.0,19.75,1,Price-Sensitive Explorers
283325,8,105.625,5.0,453.27,0.25,0.0,14.25,1,Price-Sensitive Explorers
290123,9,155.88888888888889,6.142857142857143,685.1585714285713,0.6666666666666666,0.0,21.11111111111111,3,High-Value Travelers
297546,8,192.875,5.0,415.18,0.625,0.0,25.875,1,Price-Sensitive Explorers
298253,8,91.75,6.0,712.42,0.0,0.0,12.25,1,Price-Sensitive Explorers
299476,9,154.11111111111111,7.0,192.38,0.1111111111111111,0.0,20.77777777777778,3,High-Value Travelers
